Id,SalePrice
1461,114679.44724739817
1462,166187.88951946452
1463,182368.40485611814
1464,200260.07806467396
1465,187354.72418744062
1466,171202.01153145375
1467,182664.2102877183
1468,165331.934209824
1469,195521.0386038984
1470,118100.61887378349
1471,197600.54420957604
1472,99343.6767794408
1473,97005.26859443665
1474,148229.4780616246
1475,115716.93203942635
1476,365016.9197490399
1477,245603.48249884072
1478,299615.39169447543
1479,288773.8313936738
1480,491202.57950103015
1481,342393.1206956408
1482,205630.00890435046
1483,175200.4193220227
1484,159733.44851909092
1485,182099.27206181304
1486,194860.65372351985
1487,338144.2174324742
1488,240318.22806598266
1489,189499.6188365689
1490,243856.23169050296
1491,182379.10287766028
1492,90390.88731653764
1493,193019.81453679196
1494,278636.7150534777
1495,281551.36881680647
1496,242752.5229413576
1497,171226.03336892842
1498,159203.8559227181
1499,164818.7575827657
1500,155040.9259362148
1501,176866.54954424634
1502,148287.23988457333
1503,259195.98487641526
1504,243763.13893382365
1505,233285.66650994355
1506,204467.09426203108
1507,260331.95539670292
1508,201378.56346307043
1509,162968.52573772427
1510,144725.2309453452
1511,154248.1902516958
1512,179101.79771187095
1513,147518.783106277
1514,152913.68571405104
1515,198358.58011919918
1516,152040.3390165521
1517,159393.16222881264
1518,127556.38834467041
1519,216074.35740472033
1520,127371.00523611205
1521,128849.49773929272
1522,180171.1264749653
1523,104097.90981584952
1524,121697.69740882714
1525,121096.89964695206
1526,110388.78018605056
1527,103795.46899876407
1528,136572.0213646333
1529,143921.43606239036
1530,193318.04917539144
1531,117691.63954546888
1532,97849.15887003657
1533,155524.23090030585
1534,118169.17426792826
1535,146433.0636740111
1536,114359.17519611739
1537,65505.771638705526
1538,162614.40222959977
1539,194366.73279846602
1540,100079.91165088466
1541,135030.04070098625
1542,133354.12921253554
1543,193407.05326963594
1544,88511.46656164217
1545,116888.3070772274
1546,136982.15544226154
1547,133136.42287634683
1548,129158.8116787407
1549,112808.1592419828
1550,130846.07476808997
1551,110918.75814039829
1552,143103.19282220915
1553,138271.3515417622
1554,123364.9033122299
1555,168158.19944732197
1556,89570.62471133067
1557,102676.9600252511
1558,104272.13992154523
1559,91451.89932288854
1560,131679.34384016015
1561,126225.33860547125
1562,126528.34719709931
1563,120550.48776791607
1564,165709.81914143663
1565,148516.17268606147
1566,235746.40897405287
1567,80035.68856035038
1568,230845.69879266986
1569,126058.05188035386
1570,140051.3240246474
1571,115184.12427492108
1572,142670.86623651785
1573,238398.57899984784
1574,119455.68797199921
1575,217945.877250061
1576,248134.47082452974
1577,178005.31056870637
1578,142212.2650060291
1579,138495.38563863025
1580,196876.18845147538
1581,157560.77741161847
1582,122283.8861691439
1583,313301.19609732047
1584,224233.18412814764
1585,137844.18438110893
1586,71214.87811431682
1587,100675.78473301449
1588,151858.9032563099
1589,97662.48417273209
1590,130295.1843783354
1591,91701.47784667056
1592,111892.88219014165
1593,126752.92269354135
1594,127391.0668294657
1595,101423.62922525566
1596,219053.08449632375
1597,173090.9734612763
1598,205308.5308655071
1599,178014.65750202932
1600,164950.98846464753
1601,70405.32595332277
1602,109606.2726427163
1603,93538.50151775917
1604,247180.5970093568
1605,252339.5564801098
1606,164627.91887522824
1607,172825.37563832896
1608,217556.46414327103
1609,172312.04695476015
1610,141917.86099351567
1611,133315.5647160412
1612,172475.43316043098
1613,166382.60381069765
1614,126580.16698147065
1615,92857.41929405597
1616,76385.86822936688
1617,92605.08227479678
1618,122795.96855527344
1619,145403.09693626102
1620,162079.45893306367
1621,132609.62637084004
1622,147786.5488062125
